param layers_in_out:;MEC_DRIVE;OTHERS_ELEC;FOOD_COOLING;SPACE_COOLING;PROCESS_COOLING;LIGHT;HEAT_RES;ELECTRICITY;GASOLINE;DIESEL;LFO;GAS;WOOD;WET_BIOMASS;COAL;URANIUM;WASTE;H2;AMMONIA;METHANOL;HVC;HEAT_HIGH_T;HEAT_LOW_T_DHN;HEAT_LOW_T_DECEN;MOB_PUBLIC;MOB_PRIVATE;MOB_FREIGHT_RAIL;MOB_FREIGHT_ROAD;MOB_FREIGHT_BOAT;RES_WIND;RES_SOLAR;RES_HYDRO;RES_GEO ;CO2_ATM ;CO2_INDUSTRY;CO2_CAPTURED
BIOETHANOL;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BIODIESEL;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LFO;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
GAS;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
GAS_RE;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
WOOD;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
WET_BIOMASS;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
COAL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
URANIUM;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
WASTE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
H2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
H2_RE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AMMONIA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
METHANOL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AMMONIA_RE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
METHANOL_RE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ELEC_EXPORT;0;0;0;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CO2_EMISSIONS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0
RES_WIND;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
RES_SOLAR;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
RES_HYDRO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
RES_GEO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
CO2_ATM ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
CO2_INDUSTRY ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
CO2_CAPTURED;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
NUCLEAR;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;-3.03030303;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CCGT;0;0;0;0;0;0;0;1;0;0;0;-1.750408759;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.31746;0
CCGT_AMMONIA;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;-2.544827586;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
COAL_US;0;0;0;0;0;0;0;1;0;0;0;0;0;0;-2.463045957;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.734688;0
COAL_IGCC;0;0;0;0;0;0;0;1;0;0;0;0;0;0;-2.235062136;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.666684;0
PV;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;0;0;0;0
WIND_ONSHORE;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;0;0;0;0;0
WIND_OFFSHORE;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;0;0;0;0;0
HYDRO_RIVER;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;0;0;0
GEOTHERMAL;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;0;0
IND_COGEN_GAS;0;0;0;0;0;0;0;1.52477933;0;0;0;-3.638408769;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0.693093107;0
IND_COGEN_WOOD;0;0;0;0;0;0;0;0.541364412;0;0;0;0;-3.338649807;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1.173039121;0
IND_COGEN_WASTE;0;0;0;0;0;0;0;0.708428577;0;0;0;0;0;0;0;0;-3.556603275;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0.921040045;0
IND_BOILER_GAS;0;0;0;0;0;0;0;0;0;0;0;-1.805061805;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0.343852485;0
IND_BOILER_WOOD;0;0;0;0;0;0;0;0;0;0;0;0;-2.066425948;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0.719192101;0
IND_BOILER_OIL;0;0;0;0;0;0;0;0;0;0;-1.955090951;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0.475026548;0
IND_BOILER_COAL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-2.080301383;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0.699852192;0
IND_BOILER_WASTE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1.962548475;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0.505448805;0
IND_DIRECT_ELEC;0;0;0;0;0;0;0;-1.61039028;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
DHN_HP_ELEC;0;0;0;0;0;0;0;-2.541137077;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
DHN_COGEN_GAS;0;0;0;0;0;0;0;11.47610294;0;0;0;-24.09763025;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;4.590441176;0
DHN_COGEN_WOOD;0;0;0;0;0;0;0;3.117827647;0;0;0;0;-19.22796259;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;6.755770641;0
DHN_COGEN_WASTE;0;0;0;0;0;0;0;4.079984118;0;0;0;0;0;0;0;0;-20.4832009;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;5.304456759;0
DHN_COGEN_WET_BIOMASS;0;0;0;0;0;0;0;7.587506077;0;0;0;0;0;-65.27841339;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;22.8444633;0
DHN_COGEN_BIO_HYDROLYSIS;0;0;0;0;0;0;0;6.961027215;0;0;0;0;0;-30.54167512;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;10.68819139;0
DHN_BOILER_GAS;0;0;0;0;0;0;0;0;0;0;0;-10.39571769;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1.980316324;0
DHN_BOILER_WOOD;0;0;0;0;0;0;0;0;0;0;0;0;-11.9009669;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;4.141973435;0
DHN_BOILER_OIL;0;0;0;0;0;0;0;0;0;0;-11.25976603;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2.735774409;0
DHN_DEEP_GEO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;-9.180882353;0;0;0
DHN_SOLAR;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;-9.180882353;0;0;0;0;0
DEC_HP_ELEC;0;0;0;0;0;0;0;-3.407023207;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
DEC_THHP_GAS;0;0;0;0;0;0;0;0;0;0;0;-7.087671374;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
DEC_COGEN_GAS;0;0;0;0;0;0;0;8.831227857;0;0;0;-21.072962;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
DEC_COGEN_OIL;0;0;0;0;0;0;0;8.374201429;0;0;-22.97701279;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
DEC_ADVCOGEN_GAS;0;0;0;0;0;0;0;24.34150457;0;0;0;-48.49630026;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
DEC_ADVCOGEN_H2;0;0;0;0;0;0;0;24.34150457;0;0;0;0;0;0;0;0;0;-45.8172322;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
DEC_BOILER_GAS;0;0;0;0;0;0;0;0;0;0;0;-10.77058194;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
DEC_BOILER_WOOD;0;0;0;0;0;0;0;0;0;0;0;0;-12.17215832;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
DEC_BOILER_OIL;0;0;0;0;0;0;0;0;0;0;-11.6238629;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
DEC_SOLAR;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;-9.232857143;0;0;0;0;0
DEC_DIRECT_ELEC;0;0;0;0;0;0;0;-9.327069974;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
TRAMWAY_TROLLEY;0.78;0;0;0;0;0;0;-0.073471055;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
BUS_COACH_DIESEL;0.21;0;0;0;0;0;0;0;0;-0.31915254;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
BUS_COACH_HYDIESEL;0.264019082;0;0;0;0;0;0;0;0;-0.25385299;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
BUS_COACH_CNG_STOICH;0.206401524;0;0;0;0;0;0;0;0;0;0;-0.324716756;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
BUS_COACH_FC_HYBRIDH2;0.230120073;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0.291248097;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
TRAIN_PUB;0.78;0;0;0;0;0;0;-0.07617479;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
CAR_GASOLINE;0.178728773;0;0;0;0;0;0;0;-0.613971539;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
CAR_DIESEL;0.21;0;0;0;0;0;0;0;0;-0.522544667;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
CAR_NG;0.222609637;0;0;0;0;0;0;0;0;0;0;-0.492945327;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
CAR_METHANOL;0.208993381;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0.52506151;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
CAR_HEV;0.254120811;0;0;0;0;0;0;0;-0.43181973;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
CAR_PHEV;0.363032668;0;0;0;0;0;0;-0.164513135;-0.13775823;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
CAR_BEV;0.531789689;0;0;0;0;0;0;-0.206349206;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
CAR_FUEL_CELL;0.422304512;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0.259846572;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
TRAIN_FREIGHT;0.78;0;0;0;0;0;0;-0.080289169;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
BOAT_FREIGHT_DIESEL;0.22;0;0;0;0;0;0;0;0;-0.128622681;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
BOAT_FREIGHT_NG;0.189732182;0;0;0;0;0;0;0;0;0;0;-0.149141751;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
BOAT_FREIGHT_METHANOL;0.207005145;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0.136697037;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
TRUCK_DIESEL;0.21;0;0;0;0;0;0;0;0;-0.616186786;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
TRUCK_METHANOL;0.197595819;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0.654868235;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
TRUCK_FUEL_CELL;0.227699695;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0.568288969;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
TRUCK_ELEC;0.442075116;0;0;0;0;0;0;-0.292708683;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
TRUCK_NG;0.180877913;0;0;0;0;0;0;0;0;0;0;-0.715395391;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
EFFICIENCY;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
DHN;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
GRID;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
H2_ELECTROLYSIS;0;0;0;0;0;0;0;-1.272203047;0;0;0;0;0;0;0;0;0;1;0;0;0;-0.14083375;0.004890737;0;0;0;0;0;0;0;0;0;0;0;0;0
SMR;0;0;0;0;0;0;0;0;0;0;0;-1.444392168;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.277767725;0
H2_BIOMASS;0;0;0;0;0;0;0;0;0;0;0;0;-2.627063252;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.917735728;0
GASIFICATION_SNG;0;0;0;0;0;0;0;0;0;0;0;1;-1.898623648;0;0;0;0;0;0;0;0;0;0.035399648;0;0;0;0;0;0;0;0;0;0;0;0.384629808;0
SYN_METHANATION;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;-1.133708723;0;0;0;0;0.030896142;0;0;0;0;0;0;0;0;0;0;0;0;-0.192307692
BIOMETHANATION;0;0;0;0;0;0;0;0;0;0;0;1;0;-3.571425;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.062517308;0
BIO_HYDROLYSIS;0;0;0;0;0;0;0;0.090925623;0;0;0;1;0;-2.523186034;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.694217131;0
PYROLYSIS_TO_LFO;0;0;0;0;0;0;0;0.02245283;0;0;1;0;-1.581593287;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.307229245;0
PYROLYSIS_TO_FUELS;0;0;0;0;0;0;0;0.024150943;1;0.456;0;0;-2.673026411;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.581792453;0
ATM_CCS;0;0;0;0;0;0;0;-1.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;1
INDUSTRY_CCS;0;0;0;0;0;0;0;-0.233;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0.9
SYN_METHANOLATION;0;0;0;0;0;0;0;-0.036365871;0;0;0;0;0;0;0;0;0;-1.309443332;0;1;0;0;0.009235104;0;0;0;0;0;0;0;0;0;0;0;0;-0.250717648
METHANE_TO_METHANOL;0;0;0;0;0;0;0;0;0;0;0;-1.622667416;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.061333779;0
BIOMASS_TO_METHANOL;0;0;0;0;0;0;0;0.032916327;0;0;0;0;-1.837379488;0;0;0;0;0;0;1;0;0;0.039438653;0;0;0;0;0;0;0;0;0;0;0;0.391150719;0
HABER_BOSCH;0;0;0;0;0;0;0;-0.10212766;0;0;0;0;0;0;0;0;0;-0.925232286;1;0;0;0;0.012166791;0;0;0;0;0;0;0;0;0;0;0;0;0
AMMONIA_TO_H2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;-2.141753835;0;0;-0.09576695;0.011085671;0;0;0;0;0;0;0;0;0;0;0;0;0
OIL_TO_HVC;0;0;0;0;0;0;0;-0.0211887;0;0;-1.927272727;0;0;0;0;0;0;0;0;0;1;-0.010803567;0;0;0;0;0;0;0;0;0;0;0;0;0.212727273;0
GAS_TO_HVC;0;0;0;0;0;0;0;-0.470588235;0;0;0;-2.905396826;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0.298730159;0
BIOMASS_TO_HVC;0;0;0;0;0;0;0;-0.0286;0;0;0;0;-2.658134136;0;0;0;0;0;0;0;1;-0.032619802;0;0;0;0;0;0;0;0;0;0;0;0;0.66859;0
METHANOL_TO_HVC;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1.216332236;1;-0.207010283;0;0;0;0;0;0;0;0;0;0;0;0;0;0
